,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue id,Venue Category
865,75035,33.1406759763169,-96.778205234649,Green Peridot Salon,33.122108461812445,-96.82503682289035,4b3fa9eef964a52095ab25e3,Cosmetics Shop
185,75024,33.071913,-96.8242602,Disney store,33.09886,-96.811558,4b3fda4af964a52080b025e3,Toy / Game Store
349,75074,33.022388,-96.699102,El Fenix,33.01144678059166,-96.70722943928965,4b3ff037f964a5208db225e3,Mexican Restaurant
149,75024,33.071913,-96.8242602,Silver Fox Steakhouse,33.08863962206885,-96.83984347491997,4b3ff575f964a520f6b225e3,Steakhouse
325,75074,33.022388,-96.699102,Simon's Sushi,33.01107537731546,-96.70700269464251,4b400225f964a5201cb425e3,Sushi Restaurant
1239,75071,33.2324328,-96.6718598,Which Wich? Superior Sandwiches,33.21912213994437,-96.63735471894125,4b4239d8f964a52078cf25e3,Sandwich Place
566,75093,33.0399256979855,-96.8096675872968,Razzoo's Cajun Cafe,33.0507150777576,-96.82901992954459,4b424531f964a5206bd025e3,Cajun / Creole Restaurant
820,75035,33.1406759763169,-96.778205234649,La Hacienda Ranch Frisco,33.1132603593784,-96.80515165745557,4b427cf7f964a520e2d425e3,Mexican Restaurant
207,75025,33.0875339911856,-96.7446683423545,Einstein Bros Bagels,33.072443,-96.7483919,4b433926f964a52031dd25e3,Bagel Shop
1259,75071,33.2324328,-96.6718598,Jimmy John's,33.21792941969606,-96.63777582682326,4b4381d8f964a520f3e125e3,Sandwich Place
267,75025,33.0875339911856,-96.7446683423545,El Pueblito Mexican Cocina,33.0567817886139,-96.71062446301868,4b43c720f964a5208ae925e3,Mexican Restaurant
1278,75071,33.2324328,-96.6718598,Cotton Patch Cafe,33.2189119,-96.6370146,4b452ccef964a520100726e3,American Restaurant
87,75023,33.014132,-96.6931235,Japan House,33.008607485747945,-96.71073066809126,4b45f6fef964a5200a1326e3,Japanese Restaurant
543,75093,33.0399256979855,-96.8096675872968,Chick-fil-A,33.0290207,-96.8359074,4b474c5ff964a520622e26e3,Fast Food Restaurant
568,75093,33.0399256979855,-96.8096675872968,Cowboy Chicken,33.027176320589184,-96.83980670657857,4b478f12f964a520833526e3,American Restaurant
841,75035,33.1406759763169,-96.778205234649,Kotta Sushi Lounge,33.121950960689716,-96.82494636580417,4b479bb1f964a520373726e3,Sushi Restaurant
360,75074,33.022388,-96.699102,Genghis Grill,33.01338708218882,-96.70922600088002,4b47d521f964a520cb4026e3,Asian Restaurant
148,75024,33.071913,-96.8242602,The Container Store,33.092040363119665,-96.81270714467693,4b48da5af964a5201c5a26e3,Furniture / Home Store
235,75025,33.0875339911856,-96.7446683423545,Walgreens,33.0707574227338,-96.77457332611084,4b48dfa4f964a520245b26e3,Pharmacy
150,75024,33.071913,-96.8242602,Tom Muehlenbeck Center,33.046774452463914,-96.82010505132283,4b4b6527f964a520ff9926e3,Gym
541,75093,33.0399256979855,-96.8096675872968,Neiman Marcus,33.0303545265144,-96.83152854700224,4b4b7ccdf964a520b09d26e3,Department Store
4,75023,33.014132,-96.6931235,Fish Shack,33.01952679664492,-96.70651544405098,4b4cb3a7f964a520d8ba26e3,Seafood Restaurant
585,75093,33.0399256979855,-96.8096675872968,Ben & Jerry's,33.01876440795423,-96.79636640385075,4b4cf8f7f964a5201ec626e3,Ice Cream Shop
293,75025,33.0875339911856,-96.7446683423545,Pei Wei,33.101276,-96.6877,4b4f7894f964a520fb0727e3,Asian Restaurant
1285,75071,33.2324328,-96.6718598,Cinemark Movies 14,33.18837642979794,-96.63844345831019,4b4f850df964a520d20927e3,Movie Theater
43,75023,33.014132,-96.6931235,Phỡ Quê Hương,33.018847526259684,-96.68290369965078,4b4f852ff964a520db0927e3,Vietnamese Restaurant
1242,75071,33.2324328,-96.6718598,PetSmart,33.213386,-96.6400352,4b4fa415f964a520c50e27e3,Pet Store
12,75023,33.014132,-96.6931235,QuikTrip,33.00656388104498,-96.69892128888662,4b502828f964a520a61d27e3,Convenience Store
1107,75070,33.1787952119977,-96.6810031311438,Starbucks,33.16629294,-96.66351372,4b5204acf964a520a26127e3,Coffee Shop
572,75093,33.0399256979855,-96.8096675872968,Fat Straws Bubble Tea & Juice,33.02702110826486,-96.8416421843873,4b520c69f964a520ff6327e3,Bubble Tea Shop
186,75024,33.071913,-96.8242602,Academy Sports + Outdoors,33.046389155375465,-96.8319484591484,4b523796f964a520857027e3,Sporting Goods Shop
108,75024,33.071913,-96.8242602,Crú Food & Wine Bar,33.07620234465298,-96.82148239849757,4b529199f964a520928227e3,Wine Bar
1053,75069,33.165171,-96.629944,Cotton Mill,33.1849349533697,-96.61139684534012,4b5311bbf964a520038e27e3,Garden
883,75035,33.1406759763169,-96.778205234649,Sonic Drive-In,33.108425034068,-96.8029028177261,4b534ff8f964a520c29627e3,Fast Food Restaurant
206,75025,33.0875339911856,-96.7446683423545,Custer McDermott Animal Hospital,33.1030352,-96.7338816,4b536984f964a520989b27e3,Veterinarian
958,75036,33.14931365,-96.89679945,Baskin-Robbins,33.177824,-96.890472,4b53a0e7f964a5205aa527e3,Ice Cream Shop
542,75093,33.0399256979855,-96.8096675872968,Starbucks,33.04414014,-96.82791131,4b54b6d9f964a52085c827e3,Coffee Shop
405,75075,33.025501943712,-96.7440978471312,Fred's Downtown Philly,33.01977448863878,-96.73565014323344,4b5603ccf964a52009fc27e3,Sandwich Place
1397,75072,33.1915366265987,-96.7545488535702,Great Clips,33.214402,-96.7348,4b563dfdf964a5200c0728e3,Salon / Barbershop
861,75035,33.1406759763169,-96.778205234649,Plano Family YMCA,33.10031092762872,-96.75640219980339,4b564d13f964a520130a28e3,Gym
454,75075,33.025501943712,-96.7440978471312,Starbucks,33.04142593,-96.71654848,4b570f4af964a520c72428e3,Coffee Shop
853,75035,33.1406759763169,-96.778205234649,Mardel Christian & Education,33.122056862729416,-96.80268255991223,4b576e3bf964a520493728e3,Bookstore
401,75075,33.025501943712,-96.7440978471312,Pho Que Huong,33.01980221754756,-96.74669271929379,4b57ccf5f964a520c44128e3,Vietnamese Restaurant
845,75035,33.1406759763169,-96.778205234649,European Wax Center,33.10979970316531,-96.80730549050425,4b59cec9f964a520319928e3,Health & Beauty Service
1305,75072,33.1915366265987,-96.7545488535702,Kroger Marketplace,33.1772036,-96.7353441,4b5a2cd1f964a5201db228e3,Supermarket
99,75023,33.014132,-96.6931235,Madness Games and Comics,33.03869072331105,-96.73240456714066,4b5a3af7f964a52008b628e3,Toy / Game Store
577,75093,33.0399256979855,-96.8096675872968,Joe's Pizza Pasta & Subs,33.04552396308188,-96.83225790385252,4b5a4e9af964a520d9bb28e3,Pizza Place
196,75024,33.071913,-96.8242602,Chick-fil-A,33.0989966,-96.8125457,4b5a5ad9f964a5208cbf28e3,Fast Food Restaurant
893,75035,33.1406759763169,-96.778205234649,Chick-fil-A,33.0960809,-96.8044842,4b5af626f964a52078dc28e3,Fast Food Restaurant
1251,75071,33.2324328,-96.6718598,Sam's Club,33.21880281072233,-96.62988872387113,4b5b4ab4f964a5201cf228e3,Warehouse Store
472,75075,33.025501943712,-96.7440978471312,World Market,33.0182556,-96.7108068,4b5b6d33f964a5202bfd28e3,Furniture / Home Store
344,75074,33.022388,-96.699102,Ulta Beauty,33.00951042729362,-96.70946955970976,4b5b9985f964a520020a29e3,Cosmetics Shop
1060,75069,33.165171,-96.629944,McKinney Performing Arts Center,33.19763012478398,-96.61556284398476,4b5ba2e9f964a520b20c29e3,Theater
280,75025,33.0875339911856,-96.7446683423545,Outback Steakhouse,33.09986602567586,-96.8019000094082,4b5bb98af964a520761229e3,Steakhouse
